answer	path	n
elder	[('soare', '00011', 117), ('direr', '10022', 3), ('abuna', '00000', 1), ('elder', '22222', 1)]	4
frame	[('soare', '00212', 19), ('diact', '00200', 6), ('abamp', '00220', 1), ('frame', '22222', 1)]	4
humor	[('soare', '01010', 59), ('cutin', '02000', 4), ('farer', '00002', 1), ('humor', '22222', 1)]	4
pause	[('soare', '10102', 15), ('thump', '00201', 1), ('pause', '22222', 1)]	3
ulcer	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '01001', 1), ('ulcer', '22222', 1)]	4
ultra	[('soare', '00120', 11), ('machi', '01000', 2), ('aahed', '10000', 1), ('ultra', '22222', 1)]	4
robin	[('soare', '02010', 26), ('cyton', '00012', 1), ('robin', '22222', 1)]	3
cynic	[('soare', '00000', 183), ('clint', '20110', 3), ('abmho', '00000', 1), ('cynic', '22222', 1)]	4
agora	[('soare', '01120', 6), ('abaca', '20002', 1), ('agora', '22222', 1)]	3
aroma	[('soare', '01110', 27), ('maron', '11110', 1), ('aroma', '22222', 1)]	3
caulk	[('soare', '00100', 138), ('clint', '21000', 2), ('aahed', '02000', 1), ('caulk', '22222', 1)]	4
shake	[('soare', '20202', 19), ('thilk', '02001', 1), ('shake', '22222', 1)]	3
pupal	[('soare', '00100', 138), ('clint', '01000', 12), ('dampy', '01010', 1), ('pupal', '22222', 1)]	4
dodge	[('soare', '02002', 10), ('pugil', '00100', 1), ('dodge', '22222', 1)]	3
swill	[('soare', '20000', 63), ('thilk', '00220', 2), ('abamp', '00000', 1), ('swill', '22222', 1)]	4
tacit	[('soare', '00100', 138), ('clint', '10102', 1), ('tacit', '22222', 1)]	3
other	[('soare', '01011', 13), ('trued', '11020', 2), ('aahed', '00220', 1), ('other', '22222', 1)]	4
thorn	[('soare', '01020', 8), ('acidy', '00000', 1), ('thorn', '22222', 1)]	3
trove	[('soare', '01012', 14), ('pownd', '01000', 4), ('abaft', '00001', 1), ('trove', '22222', 1)]	4
bloke	[('soare', '01002', 20), ('pling', '02000', 2), ('abaca', '01000', 1), ('bloke', '22222', 1)]	4
vivid	[('soare', '00000', 183), ('clint', '00100', 10), ('fudgy', '00100', 1), ('vivid', '22222', 1)]	4
spill	[('soare', '20000', 63), ('thilk', '00220', 2), ('abamp', '00001', 1), ('spill', '22222', 1)]	4
chant	[('soare', '00200', 40), ('clink', '20020', 1), ('chant', '22222', 1)]	3
